id,lng,lat
0,-6.311756,49.915694
1,-5.680661,50.121031
2,-5.569537,50.133293
3,-5.550719,50.103041
4,-5.543608,50.126251
5,-5.538045,50.120208
6,-5.487634,50.209233
7,-5.464652,50.189284
8,-5.424173,50.140947
9,-5.411381,50.188827
10,-5.319477,50.093253
11,-5.306370,50.214444
12,-5.291007,50.219450
13,-5.287235,50.208260
14,-5.270072,50.103641
15,-5.269316,50.244255
16,-5.259463,50.229008
17,-5.246565,50.165482
18,-5.229218,50.239621
19,-5.224118,50.230862
20,-5.208676,50.034649
21,-5.204350,50.298836
22,-5.190621,50.227734
23,-5.150352,50.342060
24,-5.131029,50.154693
25,-5.130451,51.904684
26,-5.115543,50.206111
27,-5.108232,50.169032
28,-5.091441,50.411886
29,-5.087682,50.262561
30,-5.087609,50.147373
31,-5.087236,50.227818
32,-5.080335,50.158421
33,-5.070178,50.409548
34,-5.069891,50.150656
35,-5.057599,50.261243
36,-5.051744,51.776965
37,-5.047346,51.714117
38,-5.047096,50.418537
39,-5.041111,50.267519
40,-5.038031,50.345466
41,-5.025525,51.717230
42,-4.977736,51.794942
43,-4.976721,51.993485
44,-4.973449,51.804391
45,-4.957196,50.527114
46,-4.955126,50.259230
47,-4.949772,51.716477
48,-4.944100,50.424358
49,-4.942311,51.690837
50,-4.923218,51.674755
51,-4.869740,50.353428
52,-4.863428,51.675290
53,-4.862222,50.553413
54,-4.855953,51.859183
55,-4.848683,50.398272
56,-4.834175,50.515045
57,-4.808618,50.284502
58,-4.794565,50.342294
59,-4.778993,50.339341
60,-4.766159,50.346276
61,-4.764912,50.387856
62,-4.741571,51.797833
63,-4.732977,50.468662
64,-4.725099,50.644299
65,-4.724091,50.503236
66,-4.718702,50.352061
67,-4.717909,51.723225
68,-4.714954,50.467977
69,-4.709834,51.674934
70,-4.688819,50.354470
71,-4.650884,52.023601
72,-4.643996,52.090711
73,-4.632666,53.307381
74,-4.631481,50.636587
75,-4.577681,53.290230
76,-4.551242,52.847067
77,-4.535391,50.829012
78,-4.513174,50.376462
79,-4.512621,51.817098
80,-4.508192,50.801223
81,-4.495651,53.258317
82,-4.466733,50.453379
83,-4.464057,50.493666
84,-4.458697,50.354401
85,-4.456386,50.455993
86,-4.432896,52.891128
87,-4.420362,52.008452
88,-4.404793,50.597179
89,-4.384838,52.062871
90,-4.381688,53.398547
91,-4.363972,50.827084
92,-4.360217,52.180344
93,-4.359874,50.636157
94,-4.337440,52.930966
95,-4.332484,50.980363
96,-4.325863,51.859990
97,-4.317276,50.411479
98,-4.315887,53.257643
99,-4.315624,50.503945
100,-4.306278,53.197481
101,-4.305326,51.862805
102,-4.302626,51.853206
103,-4.292471,51.735856
104,-4.279275,53.054726
105,-4.265929,53.337530
106,-4.264211,53.140511
107,-4.257100,53.114473
108,-4.252863,51.687538
109,-4.240815,50.805751
110,-4.240261,51.782578
111,-4.239616,50.411891
112,-4.229364,50.409501
113,-4.226834,50.515723
114,-4.218843,51.034881
115,-4.217130,50.629072
116,-4.216961,50.409672
117,-4.214295,50.354952
118,-4.212609,51.043357
119,-4.211493,51.019778
120,-4.202990,53.165252
121,-4.202634,51.014054
122,-4.202263,50.374699
123,-4.198067,52.251938
124,-4.186382,50.402612
125,-4.181186,51.141019
126,-4.180319,53.227384
127,-4.179747,52.049497
128,-4.178165,50.391508
129,-4.176621,50.373455
130,-4.174645,50.418980
131,-4.172632,51.685677
132,-4.170818,50.383382
133,-4.167084,50.410980
134,-4.166777,51.885375
135,-4.165188,50.392451
136,-4.161580,51.106002
137,-4.160656,51.783849
138,-4.160355,50.380506
139,-4.159473,51.674123
140,-4.154108,50.371732
141,-4.154071,51.688482
142,-4.153449,50.422487
143,-4.153070,50.396051
144,-4.149866,51.680325
145,-4.148121,50.410129
146,-4.145285,50.545461
147,-4.144423,53.218024
148,-4.140743,51.692746
149,-4.140423,53.273925
150,-4.140282,50.486160
151,-4.140214,50.388918
152,-4.139465,50.953339
153,-4.136151,50.380862
154,-4.135463,50.373198
155,-4.135460,52.931291
156,-4.134693,51.068040
157,-4.133392,50.427799
158,-4.131463,53.146089
159,-4.130346,53.227555
160,-4.129107,50.406313
161,-4.128805,50.392005
162,-4.126820,51.202968
163,-4.126412,51.579364
164,-4.123187,50.378085
165,-4.122686,50.371786
166,-4.117617,51.680965
167,-4.117197,51.207188
168,-4.115458,50.393827
169,-4.114091,50.430068
170,-4.108247,50.384605
171,-4.104451,52.857876
172,-4.103293,50.357774
173,-4.101869,51.637958
174,-4.101408,50.399827
175,-4.099595,50.413444
176,-4.095843,50.433829
177,-4.095763,50.510390
178,-4.094024,51.695092
179,-4.093785,51.789196
180,-4.087704,52.119685
181,-4.086838,51.068008
182,-4.085989,50.352493
183,-4.083334,52.588961
184,-4.080168,52.416115
185,-4.073705,51.072848
186,-4.073542,50.360315
187,-4.069442,52.406129
188,-4.067931,50.388346
189,-4.065940,50.327116
190,-4.065149,53.184158
191,-4.059424,51.087099
192,-4.056595,50.394317
193,-4.054695,51.664142
194,-4.051421,51.726148
195,-4.051111,51.081942
196,-4.045150,51.672671
197,-4.039768,51.073809
198,-4.038418,51.646150
199,-4.035710,50.383188
200,-4.033219,51.714170
201,-4.033077,50.902518
202,-4.031943,51.584513
203,-4.031534,51.623066
204,-4.031157,50.390424
205,-4.021197,51.200546
206,-4.016456,51.621264
207,-4.015868,52.458826
208,-4.011352,51.802278
209,-4.010605,50.799437
210,-4.010433,51.585073
211,-4.005498,51.572931
212,-4.001911,51.100174
213,-3.997108,50.739917
214,-3.995621,51.621219
215,-3.994910,51.675612
216,-3.990482,51.613450
217,-3.986202,51.791785
218,-3.980032,51.636684
219,-3.977984,51.895042
220,-3.977209,52.341482
221,-3.975223,51.646001
222,-3.969916,51.652324
223,-3.968923,51.619441
224,-3.963942,51.628403
225,-3.963001,51.615284
226,-3.951766,51.639708
227,-3.946062,51.619986
228,-3.945108,51.659512
229,-3.941649,51.636316
230,-3.935606,52.985149
231,-3.933623,53.265725
232,-3.927646,51.664579
233,-3.923025,51.679807
234,-3.922924,50.389767
235,-3.922697,51.623147
236,-3.918294,50.342775
237,-3.908663,51.644440
238,-3.902574,51.805100
239,-3.897381,51.700316
240,-3.896453,52.743601
241,-3.890005,51.657204
242,-3.877518,51.669049
243,-3.876944,50.687276
244,-3.848413,51.719846
245,-3.847627,51.658310
246,-3.838656,51.017435
247,-3.838022,53.275741
248,-3.833428,50.425411
249,-3.830680,53.321910
250,-3.829287,51.777178
251,-3.823333,52.003124
252,-3.822104,53.314214
253,-3.820553,51.668446
254,-3.819974,51.640223
255,-3.818239,53.293065
256,-3.818190,51.602252
257,-3.814805,51.675004
258,-3.809275,50.818004
259,-3.805871,50.246066
260,-3.804848,51.618713
261,-3.802364,51.659976
262,-3.800136,51.593861
263,-3.799289,52.598926
264,-3.797898,51.652868
265,-3.796805,53.139544
266,-3.794673,53.283341
267,-3.779670,51.654711
